yyyy	mm	tmax	tmin	rain
1976	7	17.8	10.9	34.1
1976	8	17.3	9.5	20.8
1976	9	13.3	9.1	93.5
1976	10	11.9	7.4	84.1
1976	11	8.6	3.1	32.9
1976	12	4.5	-0.7	63.9
1977	1	5.2	0.2	77.7
1977	2	5.3	0.6	60.6
1977	3	7.9	3.1	46.2
1977	4	8.3	2.4	74.4
1977	5	11.1	4.8	70.4
1977	6	12.9	6.5	60.3
1977	7	15.1	9.3	33.2
1977	8	15	9.6	83.3
1977	9	13.1	7.6	62.4
1977	10	12.4	7.8	31.3
1977	11	7.4	2.1	111.2
1977	12	7.6	2.5	41.6
1978	1	5.1	-0.2	92.4
1978	2	4.1	-1.6	72.2
1978	3	8.1	2	94.6
1978	4	7.6	2.1	35.3
1978	5	12.1	6	21.2
1978	6	13.9	8.3	29.9
1978	7	14	8.9	50.6
1978	8	14.8	9.8	41.8
1978	9	13.9	7.6	113.7
1978	10	12.7	6.6	55.5
1978	11	9.2	3.4	69.3
1978	12	5.8	3.3	63.4
1979	1	3.4	-2.1	66.5
1979	2	3.7	-1	23.9
1979	3	5.9	0.1	71.6
1979	4	8.6	3.1	87
1979	5	10.5	3.6	67.8
1979	6	13.7	8.1	59.7
1979	7	15.2	9.3	86.9
1979	8	14.7	9.2	72
1979	9	14.4	7.4	56.9
1979	10	11.7	8.3	104.5
1979	11	7.7	2.3	131.1
1979	12	6.1	2.2	107.1
1980	1	5.1	1.7	76.3
1980	2	6.4	1.6	58.2
1980	3	5.9	1.5	71.8
1980	4	10	3.7	15.3
1980	5	11	4.8	9.5
1980	6	14.5	8.9	55.7
1980	7	14.4	9.5	58.6
1980	8	15	10.2	65.8
1980	9	14.8	9.3	98.7
1980	10	10	5.1	116.2
1980	11	7.7	3.1	134.6
1980	12	7	2	111.3
1981	1	6.2	-0.5	97.6
1981	2	5.7	1.4	58.5
1981	3	7.3	2	72.8
1981	4	9.1	2.2	30.5
1981	5	11.3	6.2	43.4
1981	6	13.6	7.8	85.5
1981	7	15.8	9.9	63.9
1981	8	15.9	9.9	61.9
1981	9	14.7	9.4	103.2
1981	10	8.9	2.6	130.9
1981	11	8.1	2.8	125.3
1981	12	3.9	-1.7	71.6
1982	1	4.8	0.1	80.8
1982	2	6.8	2.3	26.1
1982	3	8	2.2	92.4
1982	4	9.8	3.9	36.3
1982	5	12.1	4.3	61.7
1982	6	13.4	8.3	13.8
1982	7	16.7	10.3	49.4
1982	8	16	9.9	73.3
1982	9	14.1	7.9	102.9
1982	10	11.6	7.4	70.9
1982	11	8.3	2.8	117.4
1982	12	5.9	0.5	115.8
1983	1	7	1.8	104.3
1983	2	4.7	-0.6	47.6
1983	3	8.3	2.7	71.9
1983	4	7.6	1.3	41.5
1983	5	9.8	5.2	34.1
1983	6	13.5	7.7	51.4
1983	7	16.7	9.8	23.7
1983	8	16.7	10.4	24.9
1983	9	13.4	8.5	88.1
1983	10	11.6	5.5	92.6
1983	11	8.9	4.4	31.7
1983	12	8	2.6	114.8
1984	1	3.9	-1.9	136.9
